Sea_area,Date,Temperature_avg,Salinity_avg,Dissolved Oxygen_avg,Phosphate Phosphorus_avg,Nitrous Acid Nitrogen_avg,Nitric Acid Nitrogen_avg,Silicic Acid Silicon_avg
동중국해,1,12.6,32.945,5.942,0.508,0.107,8.629,13.156
동중국해,2,13.228,33.64,6.04,0.437,0.218,7.727,9.695
동중국해,3,11.891,33.383,6.62,0.441,0.274,6.705,10.234
동중국해,4,,,,,,,
동중국해,5,16.853,32.793,6.158,0.183,0.254,3.299,6.535
동중국해,6,19.139,32.363,5.765,0.272,0.206,3.612,6.325
동중국해,7,,,,,,,
동중국해,8,28.139,30.154,5.161,0.127,0.137,2.416,4.4
동중국해,9,26.995,31.244,5.062,0.049,0.05,4.047,3.814
동중국해,10,23.6,33.118,4.637,0.616,0.78,5.703,6.07
동중국해,11,20.896,33.368,5.195,0.312,0.299,6.901,7.399
동중국해,12,,,,,,,
