Sea_area,Date,Temperature_avg,Salinity_avg,Dissolved Oxygen_avg,Phosphate Phosphorus_avg,Nitrous Acid Nitrogen_avg,Nitric Acid Nitrogen_avg,Silicic Acid Silicon_avg
동해,1,11.407,34.086999999999996,5.347,0.505,0.389,9.277999999999999,10.082
동해,2,10.946,34.227,5.896,0.326,0.865,6.905,6.792999999999999
동해,3,10.626,34.32,6.0760000000000005,0.24,0.34600000000000003,7.19,7.794
동해,4,12.534,34.341,6.028,0.226,0.5489999999999999,3.437,5.443
동해,5,14.536,34.434,5.699,0.19899999999999998,0.162,4.173,4.447
동해,6,19.029,33.94,5.428,0.161,0.42100000000000004,2.427,4.243
동해,7,,,,,,,
동해,8,24.564,32.796,4.88,0.161,0.281,2.017,4.58
동해,9,24.023000000000003,32.183,4.758,0.237,0.179,2.335,3.7710000000000004
동해,10,20.74,32.948,5.118,0.24600000000000002,0.273,2.659,3.983
동해,11,19.442999999999998,33.213,4.686,0.218,0.305,2.456,5.053
동해,12,15.069,33.967,5.2829999999999995,0.36,0.552,5.657,9.63
남해,1,14.432,34.059,5.858,0.419,0.225,9.763,11.57
남해,2,13.412,34.113,5.92,0.36200000000000004,0.304,7.2620000000000005,9.736
남해,3,12.988,34.24,6.157,0.316,0.27899999999999997,5.486000000000001,8.252
남해,4,14.052999999999999,33.981,6.234,0.27399999999999997,0.29600000000000004,3.6919999999999997,6.754
남해,5,14.18,33.928000000000004,6.56,0.032,0.126,1.4769999999999999,4.224
남해,6,20.56,32.766,5.4879999999999995,0.133,0.14,3.543,7.281000000000001
남해,7,22.837,31.546999999999997,5.329,0.129,0.10400000000000001,3.911,9.327
남해,8,26.938000000000002,30.92,5.078,0.24,0.14800000000000002,2.957,5.524
남해,9,25.039,30.805999999999997,5.438,0.083,0.168,1.6,4.2989999999999995
남해,10,21.99,32.52,5.172000000000001,0.154,0.263,3.438,6.796
남해,11,19.36,32.736999999999995,5.529,0.10099999999999999,0.465,3.5260000000000002,7.61
남해,12,16.644000000000002,33.723,5.654,0.41200000000000003,0.506,7.739,11.23
서해,1,7.7620000000000005,32.397,6.374,0.728,0.20199999999999999,9.654,12.897
서해,2,6.742999999999999,32.556,6.92,0.7090000000000001,0.368,10.842,10.402999999999999
서해,3,5.792000000000001,32.363,6.898,0.846,0.256,11.163,10.883
서해,4,8.644,32.477,7.584,0.435,0.242,6.473,5.609
서해,5,,,,,,,
서해,6,18.609,32.246,6.007000000000001,0.264,0.142,2.738,3.378
서해,7,20.708000000000002,32.086,5.749,0.278,0.138,4.156000000000001,4.958
서해,8,26.284000000000002,31.322,5.206,0.281,0.185,2.519,4.398
서해,9,24.929000000000002,31.563000000000002,5.232,0.152,0.182,2.783,3.61
서해,10,20.000999999999998,31.767,5.487,0.307,0.24600000000000002,3.676,5.912000000000001
서해,11,11.511,32.118,6.071000000000001,0.34600000000000003,0.285,5.289,7.611000000000001
서해,12,11.277000000000001,32.404,6.218999999999999,0.5710000000000001,0.823,7.696000000000001,9.658
동중국해,1,12.6,32.945,5.942,0.508,0.107,8.629,13.155999999999999
동중국해,2,13.228,33.64,6.04,0.43700000000000006,0.218,7.727,9.695
동중국해,3,11.890999999999998,33.383,6.62,0.441,0.27399999999999997,6.705,10.234
동중국해,4,,,,,,,
동중국해,5,16.852999999999998,32.793,6.1579999999999995,0.183,0.254,3.299,6.535
동중국해,6,19.139,32.363,5.765,0.272,0.20600000000000002,3.612,6.325
동중국해,7,,,,,,,
동중국해,8,28.139,30.154,5.1610000000000005,0.127,0.13699999999999998,2.416,4.4
동중국해,9,26.995,31.244,5.062,0.049,0.05,4.047,3.8139999999999996
동중국해,10,23.6,33.118,4.637,0.616,0.78,5.702999999999999,6.07
동중국해,11,20.896,33.368,5.195,0.312,0.299,6.901,7.399
동중국해,12,,,,,,,
