Sea_area,Observation Date,Temperature,Salinity,Dissolved Oxygen,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon
남해,2000-08,23.4,31.778,5.56,0.04,0.22,8.92,1.31
남해,2000-08,26.4,32.163000000000004,4.68,,,,
남해,2000-08,26.91,32.364000000000004,4.88,0.08,0.18,6.4,1.62
남해,2000-08,25.36,31.899,5.04,0.14,0.23,7.14,1.46
남해,2000-08,23.85,32.304,5.09,,,,
남해,2000-08,24.0,32.345,4.98,0.07,0.18,4.27,1.35
남해,2000-08,21.39,32.756,5.67,,,,
남해,2000-08,25.12,31.891,4.86,0.1,0.12,3.69,1.44
남해,2000-08,24.75,31.921,5.01,,,,
남해,2000-08,24.93,31.831,4.97,,,,
남해,2000-08,25.23,31.796,4.83,,,,
남해,2000-08,25.76,31.662,4.52,0.07,0.13,3.95,2.09
남해,2000-08,27.43,31.627,5.29,,,,
남해,2000-08,28.06,31.775,4.82,,,,
남해,2000-08,28.22,31.26,4.84,0.06,0.13,3.44,0.9
남해,2000-08,27.56,31.305,4.99,,,,
동해,2000-08,23.03,33.88,5.63,,,,
남해,2000-08,26.82,31.762,4.98,0.15,0.15,3.13,2.21
남해,2000-08,24.99,31.993,4.92,,,,
남해,2000-08,24.11,32.018,4.99,0.08,0.19,1.84,1.14
남해,2000-08,24.49,31.979,4.81,,,,
남해,2000-08,23.88,32.275,4.99,0.07,0.15,2.64,1.69
동해,2000-08,24.8,33.82,5.58,0.31,0.2,1.16,12.33
남해,2000-08,24.45,32.045,5.16,,,,
동해,2000-08,24.09,33.95,5.51,,,,
동해,2000-08,23.58,33.95,5.62,0.34,0.16,1.3,10.89
동해,2000-08,23.61,33.9,5.55,,,,
동해,2000-08,23.65,33.87,5.51,0.32,0.1,0.51,10.58
동해,2000-08,22.53,33.88,5.55,0.27,0.14,0.3,12.18
동해,2000-08,22.58,33.82,5.72,0.18,0.13,0.39,13.42
남해,2000-08,26.8,31.602,4.68,0.14,0.15,4.69,2.48
동해,2000-08,22.75,33.92,5.62,,,,
동중국해,2000-08,30.07,32.04,5.22,0.09,0.11,0.04,3.34
남해,2000-08,27.65,31.472,4.89,,,,
동해,2000-08,22.64,33.94,5.63,0.15,0.08,0.33,12.43
남해,2000-08,27.82,31.436,4.93,0.15,0.21,2.64,1.42
동중국해,2000-08,29.75,29.41,5.39,,,,
동해,2000-08,22.49,33.93,5.58,,,,
동중국해,2000-08,29.84,28.48,5.22,0.02,0.01,1.99,4.93
동해,2000-08,22.83,33.93,5.51,0.23,0.07,0.37,10.86
동중국해,2000-08,29.29,28.95,5.16,,,,
동중국해,2000-08,29.91,28.9,5.11,0.16,0.11,1.96,7.97
동해,2000-08,22.54,33.99,5.69,,,,
동중국해,2000-08,29.03,28.18,5.22,,,,
동해,2000-08,23.16,33.98,5.6,0.29,0.05,0.25,10.93
동중국해,2000-08,30.43,28.62,5.59,0.05,0.07,0.07,2.91
