Á¤¼±ÇØ¾ç°üÃøÁ¤º¸,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
ÇØ¿ª,Á¤¼±,Á¤Á¡,Á¤¼±-Á¤Á¡,À§µµ(¢ªN),°æµµ(¢ªE),°üÃøÀÏ½Ã(KST),°üÃø¼ö½É(m),¼ö¿Â(¡É),"¼ö¿Â
QC Flag",¿°ºÐ(psu),"¿°ºÐ
QC Flag",¿ëÁ¸»ê¼Ò(ml/L),"¿ëÁ¸»ê¼Ò
QC Flag",QC Level,"ÀÎ»ê¿°ÀÎ 
(ug-at/L)","¾ÆÁú»êÁú¼Ò
(ug-at/L)","Áú»êÁú¼Ò
(ug-at/L)","±Ô»ê±Ô¼Ò
(ug-at/L)",PH,Åõ¸íµµ(m),±â¾Ð(hPa),Á¶»ç¼±
³²ÇØ,207,01,207-01,35.0217,129.12,2002-01-31 10:45,0,12.23,1,34.105,1,5.3,1,1,0.51,0.56,17.14,14.74,,4,1027,Å½±¸ 3
³²ÇØ,207,01,207-01,35.0217,129.12,2002-01-31 10:45,10,12.21,1,34.168,1,5.02,1,1,,,,,,4,1027,Å½±¸ 3
³²ÇØ,207,01,207-01,35.0217,129.12,2002-01-31 10:45,20,12.21,1,34.153,1,4.88,1,1,0.71,0.74,15.75,13.94,,4,1027,Å½±¸ 3
³²ÇØ,207,01,207-01,35.0217,129.12,2002-01-31 10:45,30,12.2,1,34.181,1,4.91,1,1,,,,,,4,1027,Å½±¸ 3
³²ÇØ,207,01,207-01,35.0217,129.12,2002-01-31 10:45,50,12.03,1,34.172,1,4.93,1,1,0.55,0.55,15.11,13.74,,4,1027,Å½±¸ 3
³²ÇØ,207,01,207-01,35.0217,129.12,2002-01-31 10:45,75,11.95,1,34.133,1,3.89,1,1,0.68,0.68,16.13,14.25,,4,1027,Å½±¸ 3
³²ÇØ,207,02,207-02,34.96,129.1867,2002-01-31 11:35,0,12.19,1,34.166,1,5.32,1,1,,,,,,5,1027,Å½±¸ 3
³²ÇØ,207,02,207-02,34.96,129.1867,2002-01-31 11:35,10,12.17,1,34.133,1,5.3,1,1,,,,,,5,1027,Å½±¸ 3
³²ÇØ,207,02,207-02,34.96,129.1867,2002-01-31 11:35,20,12.16,1,34.158,1,5.04,1,1,,,,,,5,1027,Å½±¸ 3
³²ÇØ,207,02,207-02,34.96,129.1867,2002-01-31 11:35,30,12.16,1,34.178,1,5.09,1,1,,,,,,5,1027,Å½±¸ 3
³²ÇØ,207,02,207-02,34.96,129.1867,2002-01-31 11:35,50,12.04,1,34.149,1,4.47,1,1,,,,,,5,1027,Å½±¸ 3
³²ÇØ,207,02,207-02,34.96,129.1867,2002-01-31 11:35,75,11.63,1,34.112,1,3.99,1,1,,,,,,5,1027,Å½±¸ 3
³²ÇØ,207,02,207-02,34.96,129.1867,2002-01-31 11:35,94,11.53,1,34.151,1,3.81,1,1,,,,,,5,1027,Å½±¸ 3
³²ÇØ,207,03,207-03,34.8983,129.2567,2002-01-31 12:15,0,14.62,1,34.413,1,5.54,1,1,0.48,0.51,12.96,10.31,,13,1027,Å½±¸ 3
³²ÇØ,207,03,207-03,34.8983,129.2567,2002-01-31 12:15,10,14.49,1,34.429,1,5.53,1,1,,,,,,13,1027,Å½±¸ 3
³²ÇØ,207,03,207-03,34.8983,129.2567,2002-01-31 12:15,20,14.18,1,34.426,1,5.25,1,1,0.18,0.27,11.64,17.79,,13,1027,Å½±¸ 3
³²ÇØ,207,03,207-03,34.8983,129.2567,2002-01-31 12:15,30,13.76,1,34.381,1,5.13,1,1,,,,,,13,1027,Å½±¸ 3
³²ÇØ,207,03,207-03,34.8983,129.2567,2002-01-31 12:15,50,13.52,1,34.346,1,5.31,1,1,0.59,0.25,15.55,16.68,,13,1027,Å½±¸ 3
³²ÇØ,207,03,207-03,34.8983,129.2567,2002-01-31 12:15,75,13.24,1,34.304,1,5,1,1,,,,,,13,1027,Å½±¸ 3
³²ÇØ,207,03,207-03,34.8983,129.2567,2002-01-31 12:15,100,11.67,1,34.184,1,4.34,1,1,,,,,,13,1027,Å½±¸ 3
³²ÇØ,207,03,207-03,34.8983,129.2567,2002-01-31 12:15,122,10.66,2,34.3,2,,2,0,,,,,,13,1027,Å½±¸ 3
³²ÇØ,206,03,206-03,34.3733,128.8283,2002-01-31 15:40,0,14.21,1,34.289,1,5.63,1,1,0.31,0.32,11.16,9.55,,7,1026,Å½±¸ 3
³²ÇØ,206,03,206-03,34.3733,128.8283,2002-01-31 15:40,10,14.22,1,34.275,1,5.71,1,1,,,,,,7,1026,Å½±¸ 3
³²ÇØ,206,03,206-03,34.3733,128.8283,2002-01-31 15:40,20,13.62,1,34.252,1,5.22,1,1,0.37,0.31,11.87,9.3,,7,1026,Å½±¸ 3
³²ÇØ,206,03,206-03,34.3733,128.8283,2002-01-31 15:40,30,13.07,1,34.309,1,5.2,1,1,,,,,,7,1026,Å½±¸ 3
³²ÇØ,206,03,206-03,34.3733,128.8283,2002-01-31 15:40,50,12.9,1,34.295,1,4.84,1,1,0.52,0.36,11.89,11.29,,7,1026,Å½±¸ 3
³²ÇØ,206,03,206-03,34.3733,128.8283,2002-01-31 15:40,75,12.51,1,34.203,1,4.47,1,1,,,,,,7,1026,Å½±¸ 3
³²ÇØ,206,03,206-03,34.3733,128.8283,2002-01-31 15:40,93,12.06,2,34.163,2,3.9,2,0,0.5,0.33,14.06,11.39,,7,1026,Å½±¸ 3
³²ÇØ,206,02,206-02,34.4933,128.6867,2002-01-31 16:37,0,12.74,1,33.809,1,5.32,1,1,,,,,,3,1026,Å½±¸ 3
³²ÇØ,206,02,206-02,34.4933,128.6867,2002-01-31 16:37,10,12.77,1,34.194,1,5.48,1,1,,,,,,3,1026,Å½±¸ 3
³²ÇØ,206,02,206-02,34.4933,128.6867,2002-01-31 16:37,20,12.73,1,34.213,1,5.36,1,1,,,,,,3,1026,Å½±¸ 3
³²ÇØ,206,02,206-02,34.4933,128.6867,2002-01-31 16:37,30,12.73,1,34.215,1,5.15,1,1,,,,,,3,1026,Å½±¸ 3
³²ÇØ,206,02,206-02,34.4933,128.6867,2002-01-31 16:37,50,12.62,1,34.208,1,4.56,1,1,,,,,,3,1026,Å½±¸ 3
³²ÇØ,206,02,206-02,34.4933,128.6867,2002-01-31 16:37,73,12.49,1,34.227,1,3.92,1,1,,,,,,3,1026,Å½±¸ 3
³²ÇØ,206,01,206-01,34.5917,128.575,2002-01-31 17:20,0,12.75,1,34.2,1,5.76,1,1,0.62,0.32,12.52,12.47,,2,1026,Å½±¸ 3
³²ÇØ,206,01,206-01,34.5917,128.575,2002-01-31 17:20,10,12.8,1,34.233,1,5.39,1,1,,,,,,2,1026,Å½±¸ 3
³²ÇØ,206,01,206-01,34.5917,128.575,2002-01-31 17:20,20,12.81,1,34.231,1,5.5,1,1,0.57,0.29,12.58,12.44,,2,1026,Å½±¸ 3
³²ÇØ,206,01,206-01,34.5917,128.575,2002-01-31 17:20,30,12.81,1,34.249,1,5.26,1,1,,,,,,2,1026,Å½±¸ 3
³²ÇØ,206,01,206-01,34.5917,128.575,2002-01-31 17:20,50,12.8,1,34.249,1,4.31,1,1,0.59,0.3,12.58,12.66,,2,1026,Å½±¸ 3
³²ÇØ,400,16,400-16,34.5167,128.2033,2002-01-31 19:18,0,11.51,1,34.01,1,5.71,1,1,,,,,,,1026.5,Å½±¸ 3
³²ÇØ,400,16,400-16,34.5167,128.2033,2002-01-31 19:18,10,11.52,1,34.09,1,5.73,1,1,,,,,,,1026.5,Å½±¸ 3
³²ÇØ,400,16,400-16,34.5167,128.2033,2002-01-31 19:18,20,11.43,1,34.081,1,5.81,1,1,,,,,,,1026.5,Å½±¸ 3
³²ÇØ,400,16,400-16,34.5167,128.2033,2002-01-31 19:18,30,11.2,1,34.089,1,5.65,1,1,,,,,,,1026.5,Å½±¸ 3
³²ÇØ,400,16,400-16,34.5167,128.2033,2002-01-31 19:18,47,11.19,1,34.096,1,5.23,1,1,,,,,,,1026.5,Å½±¸ 3
³²ÇØ,400,17,400-17,34.45,128.0083,2002-01-31 21:00,0,9.88,1,33.564,1,5.63,1,1,,,,,,,1026.5,Å½±¸ 3
³²ÇØ,400,17,400-17,34.45,128.0083,2002-01-31 21:00,10,9.55,1,33.796,1,5.46,1,1,,,,,,,1026.5,Å½±¸ 3
³²ÇØ,400,17,400-17,34.45,128.0083,2002-01-31 21:00,20,8.92,1,33.63,1,5.42,1,1,,,,,,,1026.5,Å½±¸ 3
³²ÇØ,400,17,400-17,34.45,128.0083,2002-01-31 21:00,30,8.48,1,33.661,1,5.33,1,1,,,,,,,1026.5,Å½±¸ 3
³²ÇØ,400,15,400-15,34.37,128.3067,2002-01-31 22:20,0,11.91,1,33.925,1,5.26,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,15,400-15,34.37,128.3067,2002-01-31 22:20,10,11.87,1,34.085,1,5.1,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,15,400-15,34.37,128.3067,2002-01-31 22:20,20,11.35,1,34.04,1,4.99,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,15,400-15,34.37,128.3067,2002-01-31 22:20,30,11.31,1,34.021,1,4.49,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,15,400-15,34.37,128.3067,2002-01-31 22:20,50,10.92,1,33.956,1,4.72,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,15,400-15,34.37,128.3067,2002-01-31 22:20,68,10.42,1,33.899,1,4.27,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,14,400-14,34.225,128.4,2002-01-31 23:17,0,13.13,1,34.049,1,5.23,1,1,0.5,0.34,10.13,10.94,,,1027,Å½±¸ 3
³²ÇØ,400,14,400-14,34.225,128.4,2002-01-31 23:17,10,13.17,1,34.218,1,5.22,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,14,400-14,34.225,128.4,2002-01-31 23:17,20,13.18,1,34.298,1,5.6,1,1,0.53,0.35,10.91,11.15,,,1027,Å½±¸ 3
³²ÇØ,400,14,400-14,34.225,128.4,2002-01-31 23:17,30,13.18,1,34.303,1,5.66,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,14,400-14,34.225,128.4,2002-01-31 23:17,50,13.01,1,34.258,1,5.42,1,1,0.54,0.35,11.53,11.73,,,1027,Å½±¸ 3
³²ÇØ,400,14,400-14,34.225,128.4,2002-01-31 23:17,75,11.66,1,34.099,1,5.38,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,14,400-14,34.225,128.4,2002-01-31 23:17,84,11.65,1,34.087,1,,1,1,0.58,0.38,14.28,12.53,,,1027,Å½±¸ 3
³²ÇØ,400,13,400-13,34.0767,128.5,2002-02-01 00:25,0,15.19,1,34.22,1,5.17,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,13,400-13,34.0767,128.5,2002-02-01 00:25,10,15.21,1,34.503,1,5.52,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,13,400-13,34.0767,128.5,2002-02-01 00:25,20,15.22,1,34.519,1,5.35,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,13,400-13,34.0767,128.5,2002-02-01 00:25,30,15.23,1,34.529,1,4.98,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,13,400-13,34.0767,128.5,2002-02-01 00:25,50,14.9,1,34.507,1,4.95,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,13,400-13,34.0767,128.5,2002-02-01 00:25,75,14.37,1,34.496,1,4.88,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,13,400-13,34.0767,128.5,2002-02-01 00:25,92,14.37,1,34.487,1,4.61,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,22,400-22,33.7383,128.3983,2002-02-01 02:04,0,15.4,1,34.445,1,5.09,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,22,400-22,33.7383,128.3983,2002-02-01 02:04,10,15.44,1,34.494,1,5.2,1,1,,,,,,,1027,Å½±¸ 3
³²ÇØ,400,22,400-22,33.7383,128.3983,2002-02-01 02:04,20,15.43,1,34.508,1,5.18,1,1,,,,,,,1027,Å½±¸ 3
