Observation Date,Temperature,Salinity,Dissolved Oxygen,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon,On/Off
10,19.61,31.406999999999996,4.91,0.26,1.03,4.41,8.98,1
10,20.04,31.82,5.22,0.02,0.73,1.25,4.53,1
10,20.25,31.47300000000001,5.51,1.53,0.69,5.18,4.05,1
10,20.86,31.616999999999997,5.16,0.19,0.89,0.76,3.54,1
10,20.78,31.61,5.36,0.18,0.61,0.88,3.71,1
10,20.61,31.825,5.29,0.28,0.84,0.76,4.36,1
10,22.12,32.778,5.26,0.29,0.89,1.12,7.59,1
10,21.14,32.395,5.34,0.31,2.0,1.24,8.89,1
10,20.25,32.15,5.42,0.28,0.77,0.22,10.62,1
10,20.03,32.32,5.33,0.27,0.52,0.04,9.67,1
10,19.42,32.123000000000005,5.59,0.32,1.07,1.17,7.62,1
10,20.56,32.33,5.32,0.28,0.54,0.16,11.23,1
10,20.48,32.65,5.42,0.49,0.68,0.74,7.34,1
10,19.71,32.22,5.47,0.48,0.65,0.77,7.76,1
06,16.11,34.18,5.85,0.37,0.08,12.12,6.26,1
06,17.73,34.24,5.74,0.33,0.08,11.05,4.68,1
06,16.22,31.67,5.8,0.08,0.13,0.35,0.37,1
06,18.95,32.16,5.55,0.09,0.01,0.2,0.82,1
06,18.79,34.2,5.57,0.32,0.16,13.69,5.07,1
06,20.43,32.38,5.39,0.08,0.42,1.48,0.57,1
06,15.31,34.21,5.94,0.39,0.15,6.55,9.11,1
06,20.44,32.42,5.34,0.05,0.23,0.54,0.68,1
08,27.68,31.75,4.53,0.17,0.25,1.06,0.93,1
08,27.42,31.639,4.61,0.28,0.11,0.69,1.39,1
08,27.93,31.87,4.64,0.07,0.13,0.34,0.36,1
08,26.4,31.226,5.09,0.17,0.14,0.36,1.43,1
08,26.69,30.93,5.07,0.17,0.14,0.48,2.93,1
08,26.34,30.63,5.3,0.31,0.06,0.4,1.49,1
08,28.71,30.66,4.46,0.21,0.22,0.22,0.47,1
08,23.76,33.32,4.75,0.32,0.18,10.45,0.02,1
08,24.27,33.01,4.86,0.33,0.03,10.05,0.41,1
08,25.72,33.94,4.49,0.11,0.08,12.25,0.22,1
08,25.72,33.94,4.49,0.11,0.08,12.25,0.22,1
08,25.53,33.68,4.68,0.05,0.16,9.38,0.14,1
08,24.5,32.63,4.77,0.1,0.01,10.05,0.33,1
08,25.97,33.93,4.43,0.44,0.11,10.7,1.21,1
08,25.7,32.47,4.82,0.39,0.08,10.17,0.29,1
08,24.96,32.05,5.16,0.05,0.08,0.15,4.14,1
08,26.35,31.97,4.42,0.11,0.11,0.23,7.91,1
08,26.33,32.03,4.49,0.04,0.1,8.2,0.16,1
08,25.55,32.6,4.68,0.2,0.05,5.96,0.51,1
08,28.31,32.88,4.27,0.46,0.12,5.99,0.05,1
08,25.7,33.01,4.64,0.25,0.04,5.54,0.34,1
08,26.02,33.48,4.36,0.19,0.1,7.54,0.24,1
08,27.14,33.22,4.4,0.06,0.01,0.44,8.87,1
08,27.72,32.84,4.43,0.05,0.03,0.46,1.86,1
08,27.93,33.37,4.48,0.28,0.09,5.25,0.77,1
08,27.87,33.09,4.41,0.32,0.04,5.4,0.11,1
08,26.2,32.56,4.44,0.28,0.17,6.39,0.18,1
08,25.67,32.39,4.58,0.36,0.04,4.32,0.22,1
08,26.5,31.76,4.58,0.28,0.08,0.48,4.85,1
08,26.82,31.54,4.58,0.31,0.09,0.31,5.11,1
08,26.71,32.54,4.41,0.26,0.07,5.26,0.27,1
08,27.15,32.62,4.2,0.23,0.05,4.38,0.17,1
08,27.73,32.86,4.55,0.38,0.13,7.02,0.2,1
08,28.01,33.13,4.3,0.32,0.05,7.5,0.35,1
10,20.86,33.23,3.81,0.08,0.58,3.59,10.92,1
10,22.0,33.68,4.17,0.06,0.55,11.63,3.24,1
10,21.96,33.64,4.49,0.43,0.71,8.27,3.19,1
08,24.96,33.671,4.9,0.06,0.07,3.48,4.47,1
08,25.33,32.993,4.81,0.03,0.22,6.67,4.23,1
08,24.42,32.114000000000004,5.3,0.12,0.24,7.95,9.69,1
08,23.85,32.244,5.31,0.11,0.29,6.2,6.89,1
08,24.44,31.675,5.26,0.01,0.07,3.22,8.54,1
08,24.49,32.568000000000005,5.1,0.03,0.09,3.29,6.95,1
08,26.28,33.361999999999995,4.78,0.1,0.26,3.66,4.03,1
08,25.38,32.67,5.26,0.05,0.1,4.2,5.28,1
08,28.18,34.376,4.72,0.2,0.13,3.16,4.67,1
08,26.82,33.287,4.9,0.03,0.13,2.49,4.41,1
08,27.5,32.268,5.21,0.12,0.1,4.41,5.64,1
08,28.14,30.747,4.58,0.04,0.08,3.78,8.05,1
08,24.78,30.500999999999998,4.94,0.07,0.35,2.12,6.73,1
08,20.58,31.482,5.04,0.39,0.66,5.17,5.06,1
08,21.36,31.488000000000003,4.6,0.14,0.2,6.22,7.19,1
08,23.98,31.618000000000002,5.03,0.24,0.06,1.17,5.12,1
08,25.37,31.625999999999998,4.72,0.28,0.1,0.2,3.64,1
08,24.59,31.745,4.77,0.28,0.11,1.46,2.81,1
08,25.1,31.523000000000003,4.77,0.39,0.16,0.12,5.23,1
08,25.81,31.783,4.67,0.32,0.17,0.44,1.45,1
08,25.7,31.799,4.84,0.39,0.05,0.25,3.0,1
08,24.56,31.498,4.89,0.37,0.05,0.62,6.06,1
08,24.35,31.31900000000001,4.55,0.57,0.56,1.83,9.04,1
08,26.89,29.76,5.22,0.22,0.64,3.29,3.91,1
08,26.99,26.92,5.9,0.7,0.81,2.24,3.6,1
08,26.6,27.26,5.62,0.61,0.18,2.1,2.18,1
08,26.87,28.33,5.86,0.53,0.81,0.13,19.65,1
08,27.08,28.38,5.45,0.25,0.8,1.32,1.85,1
08,27.56,29.11,5.02,0.24,0.11,2.96,2.2,1
08,26.94,31.68,5.02,0.09,0.07,1.37,2.42,1
08,27.57,32.27,5.55,0.08,0.18,1.24,2.84,1
08,27.14,32.28,4.49,0.06,0.17,12.24,6.07,1
