해역,정선,정점,정선-정점,위도(˚N),경도(˚E),관측일시(KST),관측수심(m),수온(℃),"수온
QC Flag",염분(psu),"염분
QC Flag",용존산소(ml/L),"용존산소
QC Flag",QC Level,"인산염인 
(ug-at/L)","아질산질소
(ug-at/L)","질산질소
(ug-at/L)","규산규소
(ug-at/L)",PH,투명도(m),기압(hPa),조사선
동해,209,0,209-00,35.795,129.5317,2000-01-04 12:55,0,14.62,1,34.19,1,5.63,1,1,0.44,0.68,7.56,8.33,,17.0,1026.0,경북 885
동해,209,4,209-04,35.7883,129.5467,2000-01-04 13:15,0,14.71,1,34.19,1,5.61,1,1,,,,,,17.0,1026.0,경북 885
동해,209,5,209-05,35.7567,129.64,2000-01-04 14:00,0,14.91,1,34.21,1,5.5,1,1,0.41,0.63,7.42,8.13,,18.0,1026.0,경북 885
동해,209,6,209-06,35.6883,129.8167,2000-01-04 15:05,0,15.29,1,34.15,1,5.34,1,1,,,,,,18.0,1025.0,경북 885
동해,209,7,209-07,35.6133,130.005,2000-01-04 16:20,0,15.51,1,34.21,1,5.67,1,1,0.38,0.77,6.9,8.78,,18.0,1025.5,경북 885
동해,209,8,209-08,35.5133,130.2817,2000-01-04 18:05,0,16.27,1,34.28,1,5.64,1,1,,,,,,,1026.0,경북 885
동해,208,4,208-04,35.185,129.8783,2000-01-04 21:15,0,16.47,1,34.26,1,5.58,1,1,,,,,,,1026.0,경북 885
동해,208,3,208-03,35.2967,129.715,2000-01-04 22:30,0,15.61,1,34.25,1,5.69,1,1,0.36,0.64,6.99,7.36,,,1026.2,경북 885
동해,208,2,208-02,35.405,129.5633,2000-01-04 23:45,0,15.97,1,34.24,1,5.58,1,1,,,,,,,1026.0,경북 885
동해,208,1,208-01,35.475,129.455,2000-01-05 00:40,0,14.8,1,34.14,1,5.5,1,1,0.47,0.68,7.55,8.89,,,1026.0,경북 885
남해,207,1,207-01,35.0217,129.12,2000-02-09 15:20,0,13.12,1,33.946999999999996,1,6.01,1,1,0.25,0.61,3.63,14.89,,6.0,1018.0,탐구 3
남해,207,2,207-02,34.96,129.1867,2000-02-09 15:55,0,13.48,1,34.09,1,5.77,1,1,,,,,,9.0,1018.4,탐구 3
남해,207,3,207-03,34.8983,129.2567,2000-02-09 16:35,0,13.58,1,34.108000000000004,1,5.85,1,1,0.18,0.48,0.86,9.43,,13.0,1018.2,탐구 3
남해,206,3,206-03,34.3733,128.8283,2000-02-09 19:50,0,13.72,1,34.42,1,5.74,1,1,0.19,0.46,1.86,12.42,,,1019.0,탐구 3
남해,206,2,206-02,34.4933,128.6867,2000-02-09 20:50,0,14.24,1,34.444,1,5.9,1,1,,,,,,,1019.1,탐구 3
남해,206,1,206-01,34.5917,128.575,2000-02-09 21:45,0,12.61,1,34.284,1,5.89,1,1,0.36,0.33,2.59,13.84,,,1019.2,탐구 3
남해,206,0,206-00,34.6333,128.4167,2000-02-09 22:30,0,11.0,1,33.762,1,6.16,1,1,,,,,,,1019.4,탐구 3
남해,400,16,400-16,34.5167,128.2033,2000-02-09 23:45,0,12.35,1,33.938,1,5.86,1,1,0.08,0.32,0.2,11.19,,,1019.5,탐구 3
남해,400,0,400-00,34.6,128.0833,2000-02-10 00:30,0,11.31,1,34.08,1,6.03,1,1,,,,,,,1019.5,탐구 3
남해,400,17,400-17,34.45,128.0083,2000-02-10 01:20,0,10.71,1,34.029,1,6.05,1,1,,,,,,,1019.8,탐구 3
남해,400,15,400-15,34.37,128.3067,2000-02-10 02:40,0,13.26,1,34.268,1,5.86,1,1,,,,,,,1019.7,탐구 3
남해,400,14,400-14,34.225,128.4,2000-02-10 03:35,0,12.45,1,34.144,1,5.92,1,1,0.19,0.3,3.37,13.84,,,1019.5,탐구 3
남해,400,13,400-13,34.0767,128.5,2000-02-10 04:30,0,14.4,1,34.354,1,6.18,1,1,,,,,,,1019.2,탐구 3
남해,400,22,400-22,33.7383,128.3983,2000-02-10 06:20,0,15.26,1,34.537,1,5.74,1,1,,,,,,,1020.0,탐구 3
남해,205,5,205-05,33.6217,128.1533,2000-02-10 07:40,0,15.51,1,34.525,1,5.78,1,1,0.06,0.5,2.55,11.39,,14.0,1020.5,탐구 3
남해,205,4,205-04,33.8583,128.05,2000-02-10 10:10,0,14.68,1,34.44,1,5.93,1,1,,,,,,11.0,1021.0,탐구 3
남해,400,0,400-00,34.6,128.0833,2000-02-10 10:30,0,11.31,1,34.08,1,6.03,1,1,,,,,,,1019.5,탐구 3
남해,205,3,205-03,34.0917,127.9483,2000-02-10 12:35,0,14.01,1,34.338,1,5.96,1,1,0.14,0.26,2.72,11.92,,9.5,1020.0,탐구 3
남해,205,2,205-02,34.25,127.8683,2000-02-10 14:10,0,10.37,1,34.023,1,6.14,1,1,,,,,,5.5,1018.2,탐구 3
남해,205,1,205-01,34.3717,127.8083,2000-02-10 15:00,0,8.96,1,33.91,1,6.12,1,1,0.14,0.38,2.8,9.86,,4.0,1017.9,탐구 3
남해,204,1,204-01,34.3467,127.7317,2000-02-10 15:40,0,9.91,1,33.75,1,6.18,1,1,,,,,,4.5,1017.9,탐구 3
남해,204,2,204-02,34.2283,127.59,2000-02-10 16:30,0,11.55,1,33.692,1,6.19,1,1,0.14,0.47,3.24,5.7,,4.0,1017.9,탐구 3
남해,204,3,204-03,34.1117,127.4467,2000-02-10 17:35,0,12.06,1,33.966,1,6.24,1,1,,,,,,8.0,1018.1,탐구 3
동해,107,1,107-01,38.2033,128.6233,2000-02-10 18:45,0,7.72,1,34.05,1,6.59,1,1,0.03,0.76,3.02,13.24,,,1018.7,경북 885
남해,204,4,204-04,33.9017,127.2533,2000-02-10 19:10,0,13.72,1,34.199,1,5.82,1,1,0.15,0.12,2.32,5.87,,,1018.7,탐구 3
동해,107,2,107-02,38.21,128.7117,2000-02-10 19:25,0,7.94,1,34.07,1,6.48,1,1,,,,,,,1019.0,경북 885
남해,204,5,204-05,33.7583,127.1533,2000-02-10 20:20,0,15.68,1,34.497,1,5.72,1,1,,,,,,,1019.3,탐구 3
동해,107,3,107-03,38.21,128.8433,2000-02-10 20:35,0,8.94,1,34.14,1,6.5,1,1,0.03,0.6,3.02,11.49,,,1018.4,경북 885
남해,204,6,204-06,33.5967,127.0533,2000-02-10 21:30,0,15.82,1,34.571,1,5.86,1,1,0.17,0.27,3.65,13.14,,,1019.2,탐구 3
동해,107,4,107-04,38.21,129.0583,2000-02-10 22:15,0,9.24,1,34.14,1,6.18,1,1,,,,,,,1018.1,경북 885
남해,400,27,400-27,33.505,127.075,2000-02-10 22:15,0,15.68,1,34.32,1,5.6,1,1,0.17,0.3,2.39,10.71,,,1019.0,탐구 3
동해,107,5,107-05,38.21,129.3717,2000-02-11 00:30,0,7.49,1,34.16,1,6.39,1,1,0.02,0.71,3.02,11.79,,,1018.0,경북 885
