Observation Date,Temperature,Salinity,Dissolved Oxygen,Probability
2000-01-04,14.62,34.19,5.63,0.6051
2000-01-04,14.71,34.19,5.61,0.6266
2000-01-04,14.91,34.21,5.5,0.6837
2000-01-04,15.29,34.15,5.34,0.803
2000-01-04,15.51,34.21,5.67,0.8211
2000-01-04,16.27,34.28,5.64,1.0739
2000-01-04,16.47,34.26,5.58,1.1635
2000-01-04,15.61,34.25,5.69,0.8465
2000-01-04,15.97,34.24,5.58,0.9776
2000-01-05,14.8,34.14,5.5,0.6593
2000-02-09,13.12,33.946999999999996,6.01,0.3387
2000-02-09,13.48,34.09,5.77,0.3976
2000-02-09,13.58,34.108000000000004,5.85,0.4064
2000-02-09,13.72,34.42,5.74,0.4299
2000-02-09,14.24,34.444,5.9,0.5027
2000-02-09,12.61,34.284,5.89,0.2852
2000-02-09,11.0,33.762,6.16,0.1576
2000-02-09,12.35,33.938,5.86,0.2646
2000-02-10,11.31,34.08,6.03,0.1776
2000-02-10,10.71,34.029,6.05,0.1435
2000-02-10,13.26,34.268,5.86,0.3605
2000-02-10,12.45,34.144,5.92,0.2696
2000-02-10,14.4,34.354,6.18,0.5099
2000-02-10,15.26,34.537,5.74,0.7356
2000-02-10,15.51,34.525,5.78,0.7982
2000-02-10,14.68,34.44,5.93,0.584
2000-02-10,11.31,34.08,6.03,0.1776
2000-02-10,14.01,34.338,5.96,0.4608
2000-02-10,10.37,34.023,6.14,0.1254
2000-02-10,8.96,33.91,6.12,0.0768
2000-02-10,9.91,33.75,6.18,0.107
2000-02-10,11.55,33.692,6.19,0.1908
2000-02-10,12.06,33.966,6.24,0.2245
2000-02-10,7.72,34.05,6.59,0.0457
2000-02-10,13.72,34.199,5.82,0.4276
2000-02-10,7.94,34.07,6.48,0.0503
2000-02-10,15.68,34.497,5.72,0.8562
2000-02-10,8.94,34.14,6.5,0.0712
2000-02-10,15.82,34.571,5.86,0.8771
2000-02-10,9.24,34.14,6.18,0.0833
2000-02-10,15.68,34.32,5.6,0.878
2000-02-11,7.49,34.16,6.39,0.0434
2000-02-11,7.47,34.15,6.18,0.0446
2000-02-11,10.66,34.18,6.25,0.1358
2000-02-12,16.31,34.646,5.48,1.1035
2000-02-12,16.15,34.562,5.6,1.0266
2000-02-12,12.18,34.14,5.82,0.2491
2000-02-12,15.51,34.523,5.52,0.8322
2000-02-12,12.01,34.12,5.71,0.239
2000-02-12,16.91,34.537,5.4,1.3831
2000-02-12,16.96,34.523,5.37,1.4148
2000-02-12,16.69,34.56,5.63,1.2339
2000-02-12,16.73,34.59,5.34,1.3091
2000-02-12,15.92,34.431999999999995,5.53,0.9621
2000-02-12,15.38,34.53,5.82,0.7576
2000-02-12,15.21,34.195,5.67,0.7395
2000-02-13,14.61,34.117,5.75,0.593
2000-02-13,14.19,34.138000000000005,5.76,0.5104
2000-02-13,13.44,33.847,6.01,0.3803
2000-02-13,11.76,33.333,5.71,0.2248
2000-02-13,12.11,33.567,5.86,0.2462
2000-02-13,11.96,33.441,5.93,0.2319
2000-02-13,13.2,34.013000000000005,5.91,0.3532
2000-02-13,13.23,34.15,5.77,0.3634
2000-02-13,13.71,34.246,5.75,0.4303
2000-02-13,14.03,34.285,5.76,0.4801
2000-02-13,14.09,34.507,5.66,0.4946
2000-02-13,14.11,34.518,5.62,0.5011
2000-02-14,13.17,34.461,5.87,0.3464
2000-02-14,12.2,34.135999999999996,5.97,0.2449
2000-02-14,11.99,33.745,5.97,0.2305
2000-02-14,9.92,33.668,6.22,0.1069
2000-02-16,8.85,33.882,6.11,0.0741
2000-02-16,7.33,33.997,6.23,0.0423
2000-02-18,10.79,34.16,5.84,0.152
2000-02-18,10.82,34.21,5.86,0.1529
