Observation Date,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon,Probability
2000-01-04,0.44,0.68,7.56,8.33,0.02
2000-01-04,0.41,0.63,7.42,8.13,0.0221
2000-01-04,0.38,0.77,6.9,8.78,0.0188
2000-01-04,0.36,0.64,6.99,7.36,0.0251
2000-01-05,0.47,0.68,7.55,8.89,0.0191
2000-02-09,0.25,0.61,3.63,14.89,0.0209
2000-02-09,0.18,0.48,0.86,9.43,0.0647
2000-02-09,0.19,0.46,1.86,12.42,0.0425
2000-02-09,0.36,0.33,2.59,13.84,0.0398
2000-02-09,0.08,0.32,0.2,11.19,0.0724
2000-02-10,0.19,0.3,3.37,13.84,0.0354
2000-02-10,0.06,0.5,2.55,11.39,0.0392
2000-02-10,0.14,0.26,2.72,11.92,0.0493
2000-02-10,0.14,0.38,2.8,9.86,0.0513
2000-02-10,0.14,0.47,3.24,5.7,0.064
2000-02-10,0.03,0.76,3.02,13.24,0.0217
2000-02-10,0.15,0.12,2.32,5.87,0.1097
2000-02-10,0.03,0.6,3.02,11.49,0.0316
2000-02-10,0.17,0.27,3.65,13.14,0.0375
2000-02-10,0.17,0.3,2.39,10.71,0.0559
2000-02-11,0.02,0.71,3.02,11.79,0.0267
2000-02-11,0.03,0.83,2.77,10.76,0.0265
2000-02-12,0.27,0.3,3.07,11.48,0.0474
2000-02-12,0.02,0.77,2.68,9.51,0.0328
2000-02-12,0.06,0.57,3.0,11.0,0.0347
2000-02-12,0.12,0.42,1.98,9.41,0.0579
2000-02-12,0.06,0.14,2.2,10.84,0.0678
2000-02-12,0.12,0.17,2.53,11.49,0.0589
2000-02-13,0.2,0.18,2.95,11.72,0.054
2000-02-13,0.14,0.16,2.61,12.62,0.053
2000-02-13,0.35,0.16,2.54,14.46,0.0465
2000-02-13,0.35,0.16,1.41,14.27,0.0566
2000-02-13,0.25,0.2,2.31,13.13,0.0513
2000-02-14,0.32,0.13,1.38,11.51,0.0763
2000-02-14,0.41,0.26,5.08,12.67,0.0329
2000-02-14,0.14,0.17,3.68,13.14,0.042
2000-02-18,0.03,0.82,3.16,13.15,0.0199
2000-02-18,0.02,0.86,3.88,13.05,0.0169
2000-02-18,0.03,0.77,2.8,11.21,0.0272
2000-02-18,0.02,0.55,3.16,9.89,0.0384
2000-02-18,0.01,0.66,3.58,9.91,0.0312
2000-02-22,0.36,0.27,12.69,10.0,0.0121
2000-02-22,0.62,0.28,7.38,5.36,0.0469
2000-02-22,0.17,0.39,5.27,4.07,0.0602
2000-02-22,0.6,0.92,3.94,8.34,0.0274
2000-02-23,0.31,0.43,5.14,9.64,0.0349
2000-02-23,0.32,0.44,2.09,5.66,0.0819
2000-02-23,0.57,0.37,5.15,9.87,0.0383
2000-02-23,0.76,0.26,6.6,8.41,0.0414
2000-02-23,0.58,0.47,3.45,7.71,0.0549
2000-02-23,0.56,0.4,8.73,8.36,0.0239
2000-02-23,0.64,1.71,8.75,8.58,0.0045
2000-02-23,0.03,0.86,2.71,13.97,0.0187
2000-02-23,0.62,0.24,4.61,11.76,0.0412
2000-02-23,0.03,0.73,2.62,10.8,0.0307
2000-02-23,0.59,0.3,2.9,12.5,0.0465
2000-02-23,0.01,0.62,3.43,9.13,0.0362
2000-02-23,0.75,0.27,6.45,12.5,0.028
2000-02-23,0.03,0.68,4.24,9.85,0.0276
2000-02-23,0.03,0.86,2.71,13.97,0.0187
2000-02-29,0.13,0.78,8.45,8.25,0.0146
2000-02-29,0.06,0.75,4.79,9.58,0.0238
2000-02-29,0.31,0.44,5.71,5.19,0.0485
2000-02-29,0.68,0.32,5.97,9.49,0.0378
2000-02-29,0.26,0.39,3.02,5.51,0.0757
2000-02-29,0.66,0.35,8.78,10.88,0.02
2000-02-29,0.28,0.67,8.22,9.72,0.0154
2000-02-29,0.77,0.24,3.91,8.44,0.065
2000-03-01,0.38,0.26,5.26,11.07,0.0372
2000-03-01,0.76,0.38,6.19,9.96,0.0328
2000-03-01,0.07,0.62,3.65,10.51,0.0308
2000-03-01,0.07,0.62,3.65,10.51,0.0308
2000-03-01,0.03,0.38,6.74,10.49,0.0251
2000-03-01,0.63,0.35,8.72,15.23,0.013
2000-03-01,2.22,0.4,8.07,9.73,0.0309
2000-03-01,0.67,0.43,6.64,10.28,0.0273
2000-03-01,0.15,0.44,3.48,11.35,0.037
2000-03-01,0.9,0.62,8.16,8.18,0.0215
2000-03-01,0.65,0.24,7.53,14.08,0.0205
2000-03-01,0.04,0.43,2.75,11.75,0.0398
2000-03-01,1.08,0.7,8.22,8.66,0.0189
