Observation Date,Temperature,Salinity,Dissolved Oxygen,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon,Probability
2000-01-04,14.62,34.19,5.63,0.44,0.68,7.56,8.33,0.0051
2000-01-04,14.91,34.21,5.5,0.41,0.63,7.42,8.13,0.0056
2000-01-04,15.51,34.21,5.67,0.38,0.77,6.9,8.78,0.0068
2000-01-04,15.61,34.25,5.69,0.36,0.64,6.99,7.36,0.0072
2000-01-05,14.8,34.14,5.5,0.47,0.68,7.55,8.89,0.0055
2000-02-09,13.12,33.946999999999996,6.01,0.25,0.61,3.63,14.89,0.0033
2000-02-09,13.58,34.108000000000004,5.85,0.18,0.48,0.86,9.43,0.0049
2000-02-09,13.72,34.42,5.74,0.19,0.46,1.86,12.42,0.0044
2000-02-09,12.61,34.284,5.89,0.36,0.33,2.59,13.84,0.0031
2000-02-09,12.35,33.938,5.86,0.08,0.32,0.2,11.19,0.0032
2000-02-10,12.45,34.144,5.92,0.19,0.3,3.37,13.84,0.0027
2000-02-10,15.51,34.525,5.78,0.06,0.5,2.55,11.39,0.0073
2000-02-10,14.01,34.338,5.96,0.14,0.26,2.72,11.92,0.0046
2000-02-10,8.96,33.91,6.12,0.14,0.38,2.8,9.86,0.0009
2000-02-10,11.55,33.692,6.19,0.14,0.47,3.24,5.7,0.0023
2000-02-10,7.72,34.05,6.59,0.03,0.76,3.02,13.24,0.0005
2000-02-10,13.72,34.199,5.82,0.15,0.12,2.32,5.87,0.005
2000-02-10,8.94,34.14,6.5,0.03,0.6,3.02,11.49,0.0008
2000-02-10,15.82,34.571,5.86,0.17,0.27,3.65,13.14,0.0077
2000-02-10,15.68,34.32,5.6,0.17,0.3,2.39,10.71,0.0087
2000-02-11,7.49,34.16,6.39,0.02,0.71,3.02,11.79,0.0005
2000-02-11,10.66,34.18,6.25,0.03,0.83,2.77,10.76,0.0014
2000-02-12,16.15,34.562,5.6,0.27,0.3,3.07,11.48,0.0096
2000-02-12,12.18,34.14,5.82,0.02,0.77,2.68,9.51,0.0025
2000-02-12,16.91,34.537,5.4,0.06,0.57,3.0,11.0,0.0115
2000-02-12,16.69,34.56,5.63,0.12,0.42,1.98,9.41,0.012
2000-02-12,15.92,34.431999999999995,5.53,0.06,0.14,2.2,10.84,0.0091
2000-02-12,15.21,34.195,5.67,0.12,0.17,2.53,11.49,0.0072
2000-02-13,14.19,34.138000000000005,5.76,0.2,0.18,2.95,11.72,0.0052
2000-02-13,12.11,33.567,5.86,0.14,0.16,2.61,12.62,0.0027
2000-02-13,13.2,34.013000000000005,5.91,0.35,0.16,2.54,14.46,0.0039
2000-02-13,13.71,34.246,5.75,0.35,0.16,1.41,14.27,0.0048
2000-02-13,14.09,34.507,5.66,0.25,0.2,2.31,13.13,0.005
2000-02-14,13.17,34.461,5.87,0.32,0.13,1.38,11.51,0.0041
2000-02-14,11.99,33.745,5.97,0.41,0.26,5.08,12.67,0.0024
2000-02-14,9.92,33.668,6.22,0.14,0.17,3.68,13.14,0.0012
2000-02-18,10.79,34.16,5.84,0.03,0.82,3.16,13.15,0.0014
2000-02-18,10.82,34.21,5.86,0.02,0.86,3.88,13.05,0.0014
2000-02-18,10.89,34.29,6.28,0.03,0.77,2.8,11.21,0.0015
2000-02-18,11.48,34.18,5.91,0.02,0.55,3.16,9.89,0.0019
2000-02-18,12.41,34.13,5.6,0.01,0.66,3.58,9.91,0.0026
2000-02-22,2.79,31.354,7.55,0.36,0.27,12.69,10.0,0.0001
2000-02-22,3.82,31.965999999999998,7.27,0.62,0.28,7.38,5.36,0.0002
2000-02-22,5.23,32.4,7.01,0.17,0.39,5.27,4.07,0.0003
2000-02-22,6.16,32.465,6.8,0.6,0.92,3.94,8.34,0.0005
2000-02-23,6.59,32.54,6.6,0.31,0.43,5.14,9.64,0.0004
2000-02-23,16.05,34.12,5.15,0.32,0.44,2.09,5.66,0.012
2000-02-23,6.37,32.54,6.62,0.57,0.37,5.15,9.87,0.0005
2000-02-23,4.94,32.241,6.95,0.76,0.26,6.6,8.41,0.0003
