Observation Date,Temperature,Temperature_Probability,Salinity,Salinity_Probability,Dissolved Oxygen,Oxygen_Probability,Phosphate Phosphorus,Phosphate_Probability,Nitrous Acid Nitrogen,Nitrous_Probability,Nitric Acid Nitrogen,Nitric_Probability,Silicic Acid Silicon,Silicic_Probability
2000-01-04,14.62,0.3846,34.19,0.0001,5.63,0.0036,0.44,0.0056,0.68,0.0045,7.56,0.003,8.33,0.004
2000-01-04,14.91,0.4077,34.21,0.0001,5.5,0.0036,0.41,0.0055,0.63,0.0045,7.42,0.003,8.13,0.0041
2000-01-04,15.51,0.4567,34.21,0.0001,5.67,0.0036,0.38,0.0055,0.77,0.0045,6.9,0.0031,8.78,0.004
2000-01-04,15.61,0.465,34.25,0.0001,5.69,0.0036,0.36,0.0054,0.64,0.0045,6.99,0.0031,7.36,0.0041
2000-01-05,14.8,0.3989,34.14,0.0001,5.5,0.0036,0.47,0.0057,0.68,0.0045,7.55,0.003,8.89,0.004
2000-02-09,13.12,0.2748,33.946999999999996,0.0001,6.01,0.0035,0.25,0.0052,0.61,0.0045,3.63,0.0038,14.89,0.0036
2000-02-09,13.58,0.3064,34.108000000000004,0.0001,5.85,0.0036,0.18,0.0051,0.48,0.0046,0.86,0.0045,9.43,0.004
2000-02-09,13.72,0.3164,34.42,0.0001,5.74,0.0036,0.19,0.0051,0.46,0.0046,1.86,0.0042,12.42,0.0037
2000-02-09,12.61,0.2422,34.284,0.0001,5.89,0.0036,0.36,0.0054,0.33,0.0046,2.59,0.004,13.84,0.0036
2000-02-09,12.35,0.2267,33.938,0.0001,5.86,0.0036,0.08,0.0049,0.32,0.0046,0.2,0.0047,11.19,0.0038
2000-02-10,12.45,0.2326,34.144,0.0001,5.92,0.0036,0.19,0.0051,0.3,0.0046,3.37,0.0039,13.84,0.0036
2000-02-10,15.51,0.4567,34.525,0.0001,5.78,0.0036,0.06,0.0049,0.5,0.0046,2.55,0.0041,11.39,0.0038
2000-02-10,14.01,0.3377,34.338,0.0001,5.96,0.0036,0.14,0.005,0.26,0.0047,2.72,0.004,11.92,0.0038
2000-02-10,8.96,0.0865,33.91,0.0001,6.12,0.0035,0.14,0.005,0.38,0.0046,2.8,0.004,9.86,0.0039
2000-02-10,11.55,0.1833,33.692,0.0001,6.19,0.0035,0.14,0.005,0.47,0.0046,3.24,0.0039,5.7,0.0043
2000-02-10,7.72,0.0589,34.05,0.0001,6.59,0.0034,0.03,0.0048,0.76,0.0045,3.02,0.0039,13.24,0.0037
2000-02-10,13.72,0.3164,34.199,0.0001,5.82,0.0036,0.15,0.005,0.12,0.0047,2.32,0.0041,5.87,0.0042
2000-02-10,8.94,0.0859,34.14,0.0001,6.5,0.0035,0.03,0.0048,0.6,0.0046,3.02,0.0039,11.49,0.0038
2000-02-10,15.82,0.4825,34.571,0.0001,5.86,0.0036,0.17,0.0051,0.27,0.0047,3.65,0.0038,13.14,0.0037
2000-02-10,15.68,0.4708,34.32,0.0001,5.6,0.0036,0.17,0.0051,0.3,0.0046,2.39,0.0041,10.71,0.0039
2000-02-11,7.49,0.0548,34.16,0.0001,6.39,0.0035,0.02,0.0048,0.71,0.0045,3.02,0.0039,11.79,0.0038
