Á¤¼±ÇØ¾ç°üÃøÁ¤º¸,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
ÇØ¿ª,Á¤¼±,Á¤Á¡,Á¤¼±-Á¤Á¡,À§µµ(¢ªN),°æµµ(¢ªE),°üÃøÀÏ½Ã(KST),°üÃø¼ö½É(m),¼ö¿Â(¡É),"¼ö¿Â
QC Flag",¿°ºÐ(psu),"¿°ºÐ
QC Flag",¿ëÁ¸»ê¼Ò(ml/L),"¿ëÁ¸»ê¼Ò
QC Flag",QC Level,"ÀÎ»ê¿°ÀÎ 
(ug-at/L)","¾ÆÁú»êÁú¼Ò
(ug-at/L)","Áú»êÁú¼Ò
(ug-at/L)","±Ô»ê±Ô¼Ò
(ug-at/L)",PH,Åõ¸íµµ(m),±â¾Ð(hPa),Á¶»ç¼±
µ¿Áß±¹ÇØ,315,12,315-12,32.5,127.385,2016-02-02 22:25,0,17.2532,1,34.6375,1,5.9197,1,1,0.391,0.5073,4.8979,6.0877,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,12,315-12,32.5,127.385,2016-02-02 22:25,10,17.2601,1,34.637,1,5.6497,1,1,0.4029,0.4696,5.6354,6.5647,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,12,315-12,32.5,127.385,2016-02-02 22:25,20,17.2791,1,34.636,1,5.6087,1,1,0.4045,0.4435,4.6117,6.5609,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,12,315-12,32.5,127.385,2016-02-02 22:25,30,17.2804,1,34.6362,1,5.5335,1,1,0.3909,0.4188,4.3361,6.5619,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,12,315-12,32.5,127.385,2016-02-02 22:25,50,17.2869,1,34.637,1,5.3076,1,1,0.4064,0.4612,5.2006,6.5786,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,12,315-12,32.5,127.385,2016-02-02 22:25,75,17.2924,1,34.6372,1,5.4616,1,1,0.4298,0.4783,5.006,6.8464,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,12,315-12,32.5,127.385,2016-02-02 22:25,100,17.2857,1,34.6355,1,5.65,1,1,0.3957,0.434,4.2909,6.2514,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,13,315-13,32.5,127.085,2016-02-03 00:26,0,17.2398,1,34.6401,1,5.4616,1,1,1.5646,1.0121,39.1894,8.8898,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,13,315-13,32.5,127.085,2016-02-03 00:26,10,17.2462,1,34.636,1,5.5774,1,1,0.6704,0.5227,10.3476,7.2061,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,13,315-13,32.5,127.085,2016-02-03 00:26,20,17.2445,1,34.6365,1,5.4984,1,1,1.1458,0.8377,19.732,8.9976,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,13,315-13,32.5,127.085,2016-02-03 00:26,30,17.2495,1,34.6362,1,5.4942,1,1,1.2786,0.898,20.5644,9.0488,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,13,315-13,32.5,127.085,2016-02-03 00:26,50,17.2562,1,34.6368,1,5.4974,1,1,0.463,0.4376,4.8313,6.9235,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,13,315-13,32.5,127.085,2016-02-03 00:26,75,17.2526,1,34.6378,1,5.4601,1,1,0.8569,0.5841,16.7387,7.3818,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,13,315-13,32.5,127.085,2016-02-03 00:26,100,17.2582,1,34.6383,1,5.2717,1,1,0.7838,0.5413,14.7117,7.1067,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,14,315-14,32.5,126.8,2016-02-03 02:30,0,17.1224,1,34.6531,1,5.5005,1,1,0.6445,0.4846,8.8072,8.4445,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,14,315-14,32.5,126.8,2016-02-03 02:30,10,17.1307,1,34.6477,1,5.5036,1,1,,,,,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,14,315-14,32.5,126.8,2016-02-03 02:30,20,17.137,1,34.6503,1,5.3477,1,1,,,,,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,14,315-14,32.5,126.8,2016-02-03 02:30,30,17.1386,1,34.6512,1,5.5355,1,1,,,,,,,1032,Å½±¸ 3
µ¿Áß±¹ÇØ,315,14,315-14,32.5,126.8,2016-02-03 02:30,50,17.1404,1,34.6513,1,5.5375,1,1,,,,,,,1032,Å½±¸ 3
